id,a,b,R2 TP,alpha1,beta1,delta1,gender1,language1,iq,gpa,FillerCor,FillerInc,PercentCor
1,2.1493,0.93535,0.9944896,0.95500689,0.993634725,0.995871064,1,0,8,3.31,73,18,0.8
2,0.66566,0.93141,0.989773,0.95555555,0.971676101,0.997507918,0,1,7,2.15,26,7,0.79
3,0.25739,1.2766,0.9553311,0.999968412,1.32960065,0.999663504,1,1,10,3.57,61,2,0.97
4,2.3899,0.68502,0.9770741,0.999968412,1.32960065,0.999663504,1,1,7,3.9,38,8,0.83
5,0.55032,0.97718,0.944357,0.999968412,1.32960065,0.999663504,1,1,11,3.6,38,2,0.95
6,1.3471,1.0217,0.9983043,0.992773072,1.528057615,1.422541688,1,1,10,3.62,78,8,0.91
7,0.85786,1.0157,0.9459842,0.917883195,1.117787299,0.994503278,0,1,9,3.17,42,17,0.71
8,1.1421,0.76839,0.9685171,0.98068521,1.019493571,0.999279752,1,1,9,3.4,27,4,0.87
9,0.31857,1.1441,0.9491073,0.999968412,1.32960065,0.999663504,1,1,8,3.8,32,13,0.71
10,0.88385,0.9596,0.9713945,0.84397713,1.011982737,0.99486609,1,1,10,3.34,58,4,0.94
11,0.13366,1.3764,0.9756503,0.941933214,1.009665283,0.999210001,1,1,8,3,56,4,0.93
12,0.70189,0.98863,0.963773,0.87744061,1.126612483,0.992261942,1,1,10,3.44,46,2,0.96
13,1.4,0.85,0.9773008,0.859470735,0.858539105,0.998112831,1,1,11,3.8,44,4,0.92
14,2.1179,0.85534,0.9798431,0.997867525,0.896343388,0.999394122,1,0,12,3.2,61,4,0.94
15,0.68893,0.9892,0.9883444,0.999372123,1.087867669,0.992951057,0,0,10,3.66,49,4,0.92
16,1.27,0.97,0.9953062,0.968677252,1.064941053,0.996289793,0,1,8,3,47,7,0.87
17,0.53961,0.98346,0.8531048,0.999820689,0.968140572,0.998494885,1,1,9,3.71,27,4,0.87
18,1.548,0.99632,0.9769986,0.999968412,1.32960065,0.999663504,0,1,12,3.95,81,10,0.89
19,1.6427,0.876,0.9852591,0.94999337,1.064551926,0.997290928,1,1,6,3.81,58,8,0.88
20,11.088,0.41716,0.9556636,0.999416506,1.14824927,0.993447686,1,1,10,3.5,50,1,0.98
21,2.8744,0.60141,0.995198,0.999649828,1.003280219,0.999654685,1,2,9,2.7,29,2,0.94
22,0.52644,1.1254,0.9903148,0.95885687,1.021593333,0.998193705,1,1,9,3.5,66,1,0.99
23,1.9806,0.80255,0.9287102,0.001,1.178795077,0.999432126,1,2,9,3,47,10,0.82
24,1.4477,0.85273,0.9601647,0.353540235,1.518976984,1.010255198,1,1,8,3.4,47,8,0.85
25,2.0646,0.88271,0.9782472,0.954188951,1.015599014,0.990560084,1,1,5,3.2,76,3,0.96
26,0.01,0.15,0.9782472,0.975684954,0.940585163,0.999728471,,2,,,,,
27,0.55109,1.1252,0.966923,0.951987261,1.011088448,0.998113131,1,0,10,3.53,60,9,0.87
28,0.8559,1.0177,0.9973797,0.999968412,1.32960065,0.999663504,1,1,9,3.62,57,7,0.89
29,0.15228,1.3744,0.9339924,0.999968412,1.32960065,0.999663504,1,1,9,3.85,55,8,0.87
30,1.1887,1.0095,0.9988705,0.963182847,1.021383803,0.997617729,1,1,8,3.33,79,0,1
31,4.9049,0.64028,0.9812045,0.999968412,1.32960065,0.999663504,1,0,8,3.75,63,1,0.98
32,13.579,0.27633,0.8738735,1.009721815,0.755489599,1.007793359,0,1,8,3.3,29,7,0.81
33,0.55144,1.1851,0.9938568,0.992773072,1.528057615,1.422541688,0,1,10,3.98,78,6,0.93
34,1.1855,0.92986,0.9775088,0.001,1.4362344,0.99048673,0,0,7,2.6,61,1,0.98
35,1.3661,0.8597,0.9489966,0.977923014,1.016024474,0.997853847,0,1,10,3.87,46,9,0.84
36,1.9746,0.87938,0.9810635,0.999968412,1.32960065,0.999663504,1,2,8,2.25,55,16,0.77
37,4.6695,0.67448,0.9727965,0.996661512,1.162335283,0.988645858,0,1,9,3,64,7,0.9
38,3.937,0.77413,0.9661797,0.968352592,2.599594411,0.998705763,1,1,11,3,65,10,0.87
39,5.0185,0.59706,0.9826223,1.04448215,1.000609565,1.015189553,0,1,8,3.1,52,4,0.93
40,1.0941,0.96138,0.9554477,0.979888607,0.97630785,0.999243045,0,1,10,3.46,62,6,0.91
41,1.3319,0.89911,0.9860171,0.999968412,1.32960065,0.999663504,1,1,12,3.89,49,5,0.91
42,0.93318,1.0252,0.9473624,0.999608585,0.987738149,0.999469634,1,1,10,3.65,64,5,0.93
43,1.1472,0.96476,0.9726602,0.971466537,1.003375999,0.998036463,1,0,11,3.75,52,17,0.75
44,0.28866,1.204,0.9716048,0.998922953,4.994215568,1,1,1,1,3.73,52,1,0.98
45,0.87652,1.0926,0.9883729,0.989692749,1.004531319,0.993096402,1,0,9,3.2,71,12,0.86
46,0.48,1.11,0.9960911,0.942813515,0.919485101,0.997972626,1,0,9,3.92,38,8,0.83
47,0.77539,1.0569,0.9926722,0.949268754,1.05437081,0.995793033,1,1,8,3.68,67,2,0.97
48,0.92162,1.0018,0.9995466,0.999707681,1.062502102,0.997006573,0,1,8,3.4,54,2,0.96
49,0.01,0.15,0.9995466,0.953086877,1.047526756,0.995783534,1,1,12,3.83,,,
50,1.4093,0.94272,0.9988145,0.885388529,1.331925871,0.980369082,1,1,9,3.93,76,4,0.95
51,1.2193,0.93496,0.9952874,0.964379463,1.009991443,0.997168493,0,1,9,3.7,47,19,0.71
52,0.38268,1.2318,0.9957271,0.932537707,0.88973961,0.997904478,0,0,11,3.43,57,18,0.76
53,0.967,1.0804,0.9962475,0.999454492,1.108249628,0.993872945,1,1,9,3,74,2,0.97
54,1.6642,0.95099,0.9982917,0.938813674,1.13302929,0.991202053,1,1,12,3.67,76,6,0.93
55,0.86688,0.90437,0.9592967,0.999417724,1.022288983,0.997868403,1,1,11,3.7,45,0,1
56,1.0706,0.99199,0.9733531,0.999532744,1.111354842,0.999469674,0,0,11,3.85,56,7,0.89
57,1.865,0.82343,0.9973864,0.999122931,1.155123118,0.994914974,1,1,9,3.1,56,6,0.9
58,1.1655,0.96973,0.982639,0.999968412,1.32960065,0.999663504,1,0,10,3.1,60,8,0.88
59,1.0432,0.95184,0.9662666,2,0.187479543,1.056125533,1,1,10,3.95,68,2,0.97
60,0.55401,1.1933,0.9890618,0.947177763,0.999310951,0.99765752,0,0,10,3.5,54,22,0.71
61,0.91175,1.0518,0.9688619,0.918221999,0.990703681,0.998084783,0,0,8,3.31,71,1,0.99
62,2.0712,0.91871,0.9954209,0.999519829,0.980605642,0.999250682,0,0,10,3.86,72,9,0.89
63,2.98,0.76,0.9963996,0.999564557,4.562143255,0.999250647,1,1,10,3,39,12,0.76
64,3.1927,0.66368,0.9850834,0.999968412,1.32960065,0.999663504,1,1,7,,51,4,0.93
65,2.284,0.6444,0.9942647,0.928070568,1.069925993,0.99184728,1,1,9,3.63,,,
66,1.7134,0.85778,0.9808841,0.180178369,0.885260091,0.995371916,1,1,9,3.91,55,7,0.89
67,1.0261,1.0042,0.9998122,0.971157139,1.106307784,0.994152359,0,2,11,3.8,65,9,0.88
68,1.5162,0.92157,0.998163,0.999968412,1.32960065,0.999663504,0,1,10,3.52,65,4,0.94
69,1.2358,0.99876,0.9927244,0.875757878,1.017548305,0.994523442,1,1,10,3.3,81,5,0.94
70,0.82588,1.0559,0.9955039,0.999968412,1.32960065,0.999663504,0,1,10,4,74,8,0.9
71,0.85898,1.0284,0.9977823,0.972740581,1.044386347,0.998855239,0,1,7,3,52,8,0.87
72,1.3488,0.92661,0.9784563,0.873664926,1.332843037,0.989090246,1,1,11,3.42,73,2,0.97
73,1.3228,0.89077,0.9911831,0.971835832,0.979682414,1.00001245,1,1,9,3.6,51,7,0.88
74,0.68532,0.93367,0.9887369,0.916559913,1.123145967,0.99216471,1,1,12,4,31,6,0.84
75,0.028253,1.6545,0.9618621,0.849550327,9.999999961,0.990397478,1,1,9,3.8,41,10,0.8
76,5.2053,0.49672,0.9531551,0.896478627,1.310266148,0.99331712,1,2,10,4,34,8,0.81
77,4.2902,0.69693,0.9612995,0.998789298,1.177455111,0.994956454,0,1,8,3.6,61,6,0.91
78,1.6359,0.90592,0.9886585,0.949828513,0.927054487,0.998542305,,1,10,3.4,69,6,0.92
79,0.84845,0.83824,0.9650767,0.997968827,1.016566915,0.998504692,1,0,10,3.65,23,5,0.82
80,3.0145,0.84616,0.975539,0.999527243,1.078920348,0.99947118,1,0,10,3.9,78,5,0.94
81,4.1469,0.68886,0.9849854,0.897447754,1.006852569,0.992739965,0,1,5,3.3,56,7,0.89
82,1.461,0.86975,0.9861213,0.936938491,1.105631835,0.996341218,1,0,10,3.88,47,9,0.84
83,1.6677,0.97042,0.9592943,0.977203788,1.019828036,0.997597381,1,0,10,2.8,68,8,0.89
84,1.5668,0.96157,0.9965283,0.619203147,1.000676102,1.001182485,1,0,10,3.4,71,14,0.84
85,0.89634,0.97213,0.9944076,0.905666823,1.019951425,0.995385536,1,2,10,3.54,49,2,0.96
86,0.55244,1.0351,0.9791625,0.924805928,1.011901562,0.997427883,0,1,8,3.6,49,2,0.96
87,0.57243,1.0327,0.9475293,0.999716275,1.001936043,0.996808545,1,1,10,3.5,40,7,0.85
88,1.4684,0.97422,0.9890452,0.968137789,1.068497981,0.992468488,1,2,9,3.99,81,4,0.95
89,3.8154,0.64636,0.8938635,0.936240014,1.03126555,0.998751283,1,1,9,2.5,29,17,0.63
90,1.1355,0.99403,0.9974449,0.990228298,0.966329312,0.99908757,1,0,8,3.8,70,4,0.95
91,1.6593,0.87152,0.9660867,0.940395967,0.996470339,0.996745393,1,1,9,2.8,54,9,0.86
92,1.6133,0.81141,0.9914847,0.971646291,1.251559758,0.992651214,1,0,8,3.385,46,3,0.94
93,1.0728,1.1039,0.9932616,0.849550301,0.287170179,0.990397478,0,1,9,3.6,75,14,0.84
94,0.45899,1.07,0.9833017,0.895639661,1.014670681,0.993455428,1,0,10,3.7,38,9,0.81
95,1.5499,0.89968,0.9824184,0.808937985,1.137595217,0.992113199,0,0,8,3.5,59,1,0.98
96,1.7598,0.98637,0.9936097,0.981698927,0.996330793,0.999957322,1,1,10,3.46,83,1,0.99
97,2.3155,0.88728,0.9913993,0.940728448,0.980390471,0.995294977,0,0,11,3.7,72,6,0.92
98,1.1878,0.84943,0.9813549,0.896070714,1.254305179,0.989413448,1,1,12,3.49,39,6,0.87
99,0.33525,1.2225,0.970565,0.935616687,0.947521057,0.998366321,1,0,9,3.22,63,7,0.9
100,4.2899,0.64052,0.9893263,0.999968412,1.32960065,0.999663504,0,1,9,3,35,13,0.73
101,2.3458,0.85078,0.9788225,0.979824898,0.98910229,1.000566838,1,2,8,3.78,69,4,0.95
102,2.1884,0.77307,0.9851939,0.997683501,0.970786528,0.997528097,1,1,12,3.2,58,0,1
103,2.143,0.8628,0.9855716,0.331661363,1.642822487,1.035536583,1,0,11,3.5,76,2,0.97
104,0.01,0.15,0.9855716,0.381139291,0.869369839,0.996987073,0,2,7,1.4,,,
105,3.9154,0.65311,0.9927516,0.999371307,0.999743985,0.992950568,1,1,9,2.5,38,16,0.7
106,0.38133,1.1642,0.9836406,0.967469149,1.081993052,0.998416198,1,0,8,3.61,57,2,0.97
107,1.1027,1.0142,0.9984043,0.9707697,1.039623088,0.996006801,0,1,10,3.95,73,5,0.94
108,1.4516,0.87072,0.9912264,0.889274066,0.97872059,0.996216714,1,1,10,2.6,50,6,0.89
109,1.366,0.94014,0.995353,0.929429251,1.082196074,0.996663176,0,1,10,3.2,73,3,0.96
110,8.3056,0.43337,0.8724121,0.694462576,0.995316325,1.000425616,1,1,9,3.07,35,8,0.81
111,0.41073,1.014,0.9424994,0.999499767,5.215097249,0.999469691,0,1,7,3.3,24,2,0.92
112,1.1397,1.0315,0.9923616,0.94475274,0.964493615,0.996482309,1,1,8,3.4,73,5,0.94
113,1.1709,0.92182,0.9651524,0.929968598,1.051233503,0.992358311,0,1,8,3.3,52,4,0.93
114,1.6162,0.92592,0.9927889,0.983287363,0.987291702,0.997763586,0,1,9,3.57,71,2,0.97
115,1.4908,0.93349,0.9967341,0.896070714,1.254305179,0.989413448,0,1,7,3.64,78,2,0.98
116,1.4279,0.93957,0.9871472,0.966694936,1.064140302,0.997835504,0,1,10,3.75,62,7,0.9
117,1.4086,0.9577,0.9967298,0.783902283,1.365379907,0.994103892,0,1,9,3.93,78,1,0.99
118,1.3925,0.91415,0.9768885,0.82614983,1.257357103,0.994005559,1,2,8,3.65,52,9,0.85
119,1.0973,0.96923,0.9997575,0.999908546,1.220604694,0.999352526,0,0,12,3.95,67,5,0.93
120,0.68961,1.0033,0.9674069,0.951286023,1.014862597,0.997101069,,2,10,3.89,35,10,0.78
121,0.23932,1.1448,0.9754997,0.848235452,1.178439492,0.992455253,1,1,9,3.06,30,6,0.83
122,1.173,0.93063,0.9974608,0.953171305,1.033379072,0.993509569,1,1,11,3.2,64,3,0.96
123,1.8335,0.90301,0.9774364,0.9485473,1.040700184,0.998694551,1,1,7,3.1,80,6,0.93
124,2.3943,0.7696,0.9849687,0.999968412,1.32960065,0.999663504,1,1,9,3.34,48,5,0.91